brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Dolce Gabbana,Dolce Gabbana Queen EDP Perfume for Women 3.4 oz Eau de Parfum Spray New Box,"Pear, Lavender",38.99,US $38.99/ea,3,3 available / 122 sold,122,"May 21, 2024 22:55:56 PDT","California USA Hongkong, Hong Kong"
Ralph Lauren,Romance by Ralph Lauren 3.4 oz EDP Perfume for Women New In Box,"Citrus, Lily, Coffee, Cardamom",45.92,US $45.92/ea,,"Limited quantity available / 3,009 sold",3009,"May 24, 2024 11:02:02 PDT","Hackensack, New Jersey, United States"
Chloe,CHLOE Perfume Eau De Parfum EDP Splash Mini 0.16oz 5 ml NEW with Box,"Peach, Blackcurrant, Cypress",12.99,US $12.99,15,15 available / 36 sold,36,"May 19, 2024 11:40:36 PDT","Laguna Niguel, California, United States"
LANCOME,Lancome Idole Le Parfum  Spray  25ML/0.8 fl OZ New In Box,"Saffron, Chocolate, Chili, Vanilla, Rose",26.99,US $26.99,10,More than 10 available / 44 sold,44,"May 17, 2024 19:59:50 PDT","Villa Rica, Georgia, United States"
Jimmy Choo,I Want Choo Forever by Jimmy Choo 3.3 oz EDP Perfume for Women New in Box,"Citrus, Coffee, Raspberry, Pear, Leather",58.61,US $58.61/ea,,Limited quantity available / 770 sold,770,"May 21, 2024 03:16:40 PDT","Hackensack, New Jersey, United States"
Lancome,Poeme by Lancome 3.4 oz./ 100 ml. L'eau de Parfum Spray for Women in Sealed Box,"Sandalwood, Lily of the Valley",86.99,US $86.99/ea,10,"10 available / 1,385 sold",1385,"May 23, 2024 18:19:08 PDT","Katy, Texas, United States"
Victoria's Secret,VICTORIA SECRET TEASE 3.4 oz 100 ml Eau De Parfum Women's Spray,"Cinnamon, Grapefruit, Vetiver, Coconut, Peach",54,US $54.00,4,4 available / 26 sold,26,"May 20, 2024 21:25:03 PDT","Houston, Texas, United States"
Natalie,Natalie Wood Signature Fragrance Spray Purse Travel Eau de Parfum Bottle .34 oz,"Cedarwood, Pear",5.99,US $5.99/ea,196,196 available / 32 sold,32,"May 21, 2024 06:32:29 PDT","Florence, South Carolina, United States"
Paris Hilton,PARIS HILTON 3.4 / 3.3 oz edp Perfume for Women New in Box,"Apple, Vanilla, Cedarwood",24.39,US $24.39/ea,123,"123 available / 5,558 sold",5558,"May 22, 2024 10:12:18 PDT","Dallas, Texas, United States"
Calvin Klein,"Calvin Klein Euphoria Eau de Parfum, 1.6 Oz new open box Scuffed","Sandalwood, Cypress, Cedarwood, Chocolate",22.99,US $22.99,10,More than 10 available / 347 sold,347,"May 23, 2024 13:35:36 PDT","Brooklyn, New York, United States"
Lattafa,Fakhar Lattafa 3.4 EDP Parfum Perfume for Women New in Box,"Sandalwood, Vetiver, Ginger",21.98,US $21.98,10,More than 10 available / 278 sold,278,"May 24, 2024 05:18:15 PDT","Hackensack, New Jersey, United States"
Parfums de Marly,"Parfums de Marly Delina La Rosee by Parfums de Marly, 2.5oz EDP Spray  For Women","Coconut, Orange Blossom, Rose, Vetiver, Cardamom",76.99,US $76.99/ea,2,2 available / 13 sold,13,"May 23, 2024 23:59:28 PDT","HK, Hong Kong"
